station,datetime,obs_type,obs_value,TMAX_F,datetime_dt,year
AU000005901,18640102,TMAX,-7.0,19.4,1864-01-02,1864
SZ000006717,18640402,TMAX,-7.0,19.4,1864-04-02,1864
SZ000006717,18640408,TMAX,-7.0,19.4,1864-04-08,1864
GM000004204,18641216,TMAX,-6.8,19.759999999999998,1864-12-16,1864
EZE00100082,18641231,TMAX,-6.8,19.759999999999998,1864-12-31,1864
GM000004204,18640101,TMAX,-6.8,19.759999999999998,1864-01-01,1864
EZE00100082,18640118,TMAX,-6.8,19.759999999999998,1864-01-18,1864
CA006158350,18640105,TMAX,-6.7,19.939999999999998,1864-01-05,1864
GM000004204,18640109,TMAX,-6.6,20.12,1864-01-09,1864
GME00125218,18641224,TMAX,-6.6,20.12,1864-12-24,1864
GME00125218,18641225,TMAX,-6.6,20.12,1864-12-25,1864
AU000005901,18640110,TMAX,-6.6,20.12,1864-01-10,1864
ITE00100554,18640114,TMAX,-6.6,20.12,1864-01-14,1864
GM000004204,18640103,TMAX,-6.6,20.12,1864-01-03,1864
AU000005901,18640104,TMAX,-6.5,20.299999999999997,1864-01-04,1864
AU000005901,18640105,TMAX,-6.5,20.299999999999997,1864-01-05,1864
GME00125218,18640107,TMAX,-6.5,20.299999999999997,1864-01-07,1864
EZE00100082,18640109,TMAX,-6.5,20.299999999999997,1864-01-09,1864
SZ000006717,18641124,TMAX,-6.4,20.479999999999997,1864-11-24,1864
GM000004204,18640110,TMAX,-6.4,20.479999999999997,1864-01-10,1864
EZE00100082,18641216,TMAX,-6.4,20.479999999999997,1864-12-16,1864
GM000004204,18640102,TMAX,-6.3,20.66,1864-01-02,1864
SZ000006717,18640311,TMAX,-6.3,20.66,1864-03-11,1864
GM000004204,18640117,TMAX,-6.3,20.66,1864-01-17,1864
ITE00100550,18640117,TMAX,-6.3,20.66,1864-01-17,1864
GME00125218,18640109,TMAX,-6.3,20.66,1864-01-09,1864
BE000006447,18641223,TMAX,-6.3,20.66,1864-12-23,1864
SZ000006717,18641112,TMAX,-6.3,20.66,1864-11-12,1864
SZ000006717,18640328,TMAX,-6.2,20.84,1864-03-28,1864
SZ000006717,18640117,TMAX,-6.2,20.84,1864-01-17,1864
SZ000006717,18641231,TMAX,-6.2,20.84,1864-12-31,1864
BE000006447,18640104,TMAX,-6.1,21.02,1864-01-04,1864
EZE00100082,18640120,TMAX,-6.1,21.02,1864-01-20,1864
EZE00100082,18641227,TMAX,-6.1,21.02,1864-12-27,1864
SZ000006717,18641218,TMAX,-6.1,21.02,1864-12-18,1864
CA006158350,18641223,TMAX,-6.1,21.02,1864-12-23,1864
CA006158350,18641231,TMAX,-6.1,21.02,1864-12-31,1864
SZ000006717,18641107,TMAX,-6.0,21.2,1864-11-07,1864
SZ000006717,18640228,TMAX,-6.0,21.2,1864-02-28,1864
SZ000006717,18640111,TMAX,-5.8,21.560000000000002,1864-01-11,1864
SZ000006717,18641121,TMAX,-5.8,21.560000000000002,1864-11-21,1864
SZ000006717,18641210,TMAX,-5.8,21.560000000000002,1864-12-10,1864
SZ000006717,18640403,TMAX,-5.8,21.560000000000002,1864-04-03,1864
SZ000006717,18640302,TMAX,-5.8,21.560000000000002,1864-03-02,1864
SZ000006717,18641130,TMAX,-5.8,21.560000000000002,1864-11-30,1864
EZE00100082,18640211,TMAX,-5.7,21.740000000000002,1864-02-11,1864
CA006158350,18640219,TMAX,-5.6,21.92,1864-02-19,1864
CA006158350,18640319,TMAX,-5.6,21.92,1864-03-19,1864
CA006158350,18640111,TMAX,-5.6,21.92,1864-01-11,1864
